set_1,set_2,set_3,set_4,set_5,set_6,set_7,set_8,set_9,set_10
8.48,8.45,8.52,8.50,8.43,8.49,8.44,8.41,8.44,8.50
8.47,8.46,8.46,8.45,8.46,8.50,8.47,8.50,8.45,8.42
8.46,8.47,8.53,8.49,8.44,8.49,8.46,8.46,8.49,8.49
8.45,8.42,8.50,8.48,8.51,8.46,8.39,8.41,8.41,8.47
8.46,8.51,8.53,8.49,8.43,8.52,8.51,8.49,8.51,8.45
8.46,8.50,8.48,8.49,8.43,8.53,8.50,8.44,8.48,8.42
8.45,8.45,8.47,8.49,8.47,8.42,8.51,8.46,8.49,8.45
8.45,8.49,8.48,8.49,8.51,8.49,8.48,8.48,8.46,8.44
8.44,8.49,8.47,8.52,8.41,8.43,8.45,8.44,8.45,8.43
8.49,8.50,8.49,8.45,8.41,8.49,8.47,8.48,8.46,8.45